report_text,report_type,location,department,activity,life_saving_rule,barrier_failure,potential_consequence,sif_label
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Bongaigaon Refinery,Drilling,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Guwahati Depot,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Lakwa Production,Electrical,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Duliajan Central,Drilling,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Bongaigaon Refinery,Electrical,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Guwahati Depot,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Guwahati Depot,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Guwahati Depot,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Numaligarh Terminal,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Lakwa Production,Electrical,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Numaligarh Terminal,Production,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Guwahati Depot,Logistics,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Guwahati Depot,Logistics,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Jorhat Pipeline,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Bongaigaon Refinery,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Digboi Field,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Numaligarh Terminal,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Guwahati Depot,Process Safety,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Duliajan Central,Process Safety,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Numaligarh Terminal,Maintenance,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Bongaigaon Refinery,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Numaligarh Terminal,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Guwahati Depot,Drilling,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Duliajan Central,Production,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Digboi Field,Process Safety,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Bongaigaon Refinery,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Numaligarh Terminal,Process Safety,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Jorhat Pipeline,Drilling,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Digboi Field,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Bongaigaon Refinery,Drilling,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Numaligarh Terminal,Projects,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Digboi Field,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Jorhat Pipeline,Drilling,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Guwahati Depot,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Bongaigaon Refinery,Drilling,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Digboi Field,Electrical,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Bongaigaon Refinery,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Digboi Field,Maintenance,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Lakwa Production,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Bongaigaon Refinery,Process Safety,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Jorhat Pipeline,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Bongaigaon Refinery,Maintenance,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Numaligarh Terminal,Projects,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Numaligarh Terminal,Maintenance,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Bongaigaon Refinery,Production,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Jorhat Pipeline,Projects,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Bongaigaon Refinery,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Digboi Field,Projects,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Digboi Field,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Digboi Field,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Duliajan Central,Logistics,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Guwahati Depot,Maintenance,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Numaligarh Terminal,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Lakwa Production,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Numaligarh Terminal,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Guwahati Depot,Maintenance,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Numaligarh Terminal,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Duliajan Central,Maintenance,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Duliajan Central,Logistics,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Bongaigaon Refinery,Electrical,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Duliajan Central,Electrical,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Digboi Field,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Digboi Field,Production,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Guwahati Depot,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Guwahati Depot,Process Safety,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Digboi Field,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Bongaigaon Refinery,Maintenance,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Jorhat Pipeline,Production,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Bongaigaon Refinery,Logistics,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Digboi Field,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Numaligarh Terminal,Production,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Duliajan Central,Process Safety,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Duliajan Central,Logistics,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. near the main work area",Near Miss,Guwahati Depot,Projects,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. near the main work area,Unsafe Act,Digboi Field,Drilling,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. near the main work area,Unsafe Condition,Guwahati Depot,Maintenance,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. reported by the field supervisor,Unsafe Act,Numaligarh Terminal,Electrical,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. reported by the field supervisor,Unsafe Condition,Jorhat Pipeline,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. reported by the field supervisor,Near Miss,Jorhat Pipeline,Drilling,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. reported by the field supervisor,Incident,Digboi Field,Logistics,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. reported by the field supervisor,Unsafe Condition,Jorhat Pipeline,Electrical,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. reported by the field supervisor",Near Miss,Guwahati Depot,Drilling,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. reported by the field supervisor,Unsafe Act,Duliajan Central,Drilling,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. reported by the field supervisor,Unsafe Condition,Duliajan Central,Process Safety,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. before handover,Unsafe Act,Digboi Field,Projects,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. before handover,Unsafe Condition,Lakwa Production,Production,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. before handover,Near Miss,Guwahati Depot,Logistics,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. before handover,Incident,Guwahati Depot,Drilling,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. before handover,Unsafe Condition,Guwahati Depot,Production,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. before handover",Near Miss,Guwahati Depot,Production,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. before handover,Unsafe Act,Jorhat Pipeline,Logistics,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. before handover,Unsafe Condition,Digboi Field,Electrical,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during the morning shift,Unsafe Act,Digboi Field,Logistics,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during the morning shift,Unsafe Condition,Jorhat Pipeline,Projects,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during the morning shift,Near Miss,Numaligarh Terminal,Maintenance,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during the morning shift,Incident,Bongaigaon Refinery,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during the morning shift,Unsafe Condition,Numaligarh Terminal,Logistics,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during the morning shift",Near Miss,Bongaigaon Refinery,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during the morning shift,Unsafe Act,Duliajan Central,Electrical,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during the morning shift,Unsafe Condition,Jorhat Pipeline,Process Safety,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. during planned work,Unsafe Act,Bongaigaon Refinery,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. during planned work,Unsafe Condition,Guwahati Depot,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. during planned work,Near Miss,Guwahati Depot,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. during planned work,Incident,Numaligarh Terminal,Maintenance,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. during planned work,Unsafe Condition,Digboi Field,Projects,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
"A hand tool was found without its tether during routine workshop work, with no exposure reported. during planned work",Near Miss,Digboi Field,Logistics,Workshop Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
The operator used the designated PPE and completed the pre-job briefing before starting the task. during planned work,Unsafe Act,Guwahati Depot,Maintenance,Routine Operations,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
A warning sign was faded at the warehouse entrance but the access route remained controlled. during planned work,Unsafe Condition,Jorhat Pipeline,Projects,Material Handling,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
Maintenance was carried out while the equipment was still energized and proper isolation was not confirmed. near the main work area,Unsafe Act,Numaligarh Terminal,Process Safety,Equipment Maintenance,Energy Isolation,Critical control not effective,Serious injury or fatality,SIF-Potential
A temporary scaffold at the work front had an unprotected edge and no inspected fall-arrest anchor. near the main work area,Unsafe Condition,Digboi Field,Process Safety,Working at Height,Work at Height,Critical control not effective,Serious injury or fatality,SIF-Potential
A suspended load shifted during crane lifting while personnel were inside the exclusion zone. near the main work area,Near Miss,Numaligarh Terminal,Electrical,Lifting Operations,Suspended Loads,Critical control not effective,Serious injury or fatality,SIF-Potential
Gas testing was not completed before entry into a vessel and the standby arrangement was missing. near the main work area,Incident,Jorhat Pipeline,Electrical,Confined Space Entry,Confined Space,Critical control not effective,Serious injury or fatality,SIF-Potential
Good housekeeping was needed around a walkway; minor oil residue was observed near the pump. near the main work area,Unsafe Condition,Jorhat Pipeline,Drilling,Routine Inspection,Other,Minor control gap,Low-severity injury or property damage,Non-SIF-Potential
